max_dist,n_facilities,coverage_trip,coverage_register,coverage_outage
2000,500,13.653622000000002,7.5021802,7.8870074
2000,1000,13.653622000000002,7.5021802,7.8870074
2000,1500,13.653622000000002,7.5021802,7.8870074
2000,2000,13.653622000000002,7.5021802,7.8870074
2000,2500,13.653622000000002,7.5021802,7.8870074
2000,3000,13.653622000000002,7.5021802,7.8870074
2000,3500,13.653622000000002,7.5021802,7.8870074
2000,4000,13.653622000000002,7.5021802,7.8870074
2000,4500,13.653622000000002,7.5021802,7.8870074
2000,5000,13.653622000000002,7.5021802,7.8870074
3000,500,22.51649,14.558466000000001,14.5629
3000,1000,22.51649,14.558466000000001,14.5629
3000,1500,22.51649,14.558466000000001,14.5629
3000,2000,22.51649,14.558466000000001,14.5629
3000,2500,22.51649,14.558466000000001,14.5629
3000,3000,22.51649,14.558466000000001,14.5629
3000,3500,22.51649,14.558466000000001,14.5629
3000,4000,22.51649,14.558466000000001,14.5629
3000,4500,22.51649,14.558466000000001,14.5629
3000,5000,22.51649,14.558466000000001,14.5629
4000,500,31.333067999999997,28.906354,22.802144
4000,1000,31.333067999999997,28.906354,22.802144
4000,1500,31.333067999999997,28.906354,22.802144
4000,2000,31.333067999999997,28.906354,22.802144
4000,2500,31.333067999999997,28.906354,22.802144
4000,3000,31.333067999999997,28.906354,22.802144
4000,3500,31.333067999999997,28.906354,22.802144
4000,4000,31.333067999999997,28.906354,22.802144
4000,4500,31.333067999999997,28.906354,22.802144
4000,5000,31.333067999999997,28.906354,22.802144
5000,500,40.314001,34.423076,28.570032
5000,1000,40.314001,34.423076,28.570032
5000,1500,40.314001,34.423076,28.570032
5000,2000,40.314001,34.423076,28.570032
5000,2500,40.314001,34.423076,28.570032
5000,3000,40.314001,34.423076,28.570032
5000,3500,40.314001,34.423076,28.570032
5000,4000,40.314001,34.423076,28.570032
5000,4500,40.314001,34.423076,28.570032
5000,5000,40.314001,34.423076,28.570032
6000,500,55.049786,42.722989,43.109542
6000,1000,55.049786,42.722989,43.109542
6000,1500,55.049786,42.722989,43.109542
6000,2000,55.049786,42.722989,43.109542
6000,2500,55.049786,42.722989,43.109542
6000,3000,55.049786,42.722989,43.109542
6000,3500,55.049786,42.722989,43.109542
6000,4000,55.049786,42.722989,43.109542
6000,4500,55.049786,42.722989,43.109542
6000,5000,55.049786,42.722989,43.109542
